Number,Question,Image,Answer A,Answer B,Answer C,Answer D,Correct Answer
1,What is the maximum speed allowed in a harbor area?,,5 knots,10 knots,15 knots,20 knots,a
2,What safety equipment is mandatory for jet ski operation?,,Life jacket,Helmet,Flares,Anchor,a
3,At what distance must you stay away from swimmers?,,50 meters,100 meters,150 meters,200 meters,b
4,Which light configuration indicates a vessel under sail?,,White masthead light,Red and green sidelights only,Red and green sidelights with stern light,All-round white light,c
5,What is the minimum age to operate a small boat without supervision?,,16 years,18 years,21 years,14 years,a
6,What does three short blasts on a horn indicate?,,Vessel going astern,Vessel turning right,Vessel turning left,Vessel in distress,a
7,Which authority must be notified before a long voyage?,,Harbor master,Coast guard,Police,All of the above,d
8,What is the maximum tonnage for a yacht captain license?,,50 tons,100 tons,200 tons,500 tons,a
9,"Which safety equipment is required on yachts over 12 meters?",,Life raft,EPIRB,Fire extinguisher,All of the above,d
10,What does a red buoy with a conical top indicate?,,Port side when entering harbor,Starboard side when entering harbor,Danger zone,Anchorage area,b
11,What is the international distress signal?,,SOS,MAYDAY,PAN-PAN,SECURITE,b
12,"When encountering another vessel head-on, what action should you take?",,Turn right,Turn left,Maintain course,Stop,a
13,How often must life jackets be inspected?,,Monthly,Quarterly,Annually,Before each voyage,c
14,What does a yellow buoy typically indicate?,,Special area or notice,Port side,Starboard side,Danger,a
15,What is the purpose of a kill switch on a small boat?,,Stops engine if operator falls overboard,Emergency shutdown,Theft prevention,Speed limiting,a
16,What sound signal indicates a vessel is backing up?,,One short blast,Two short blasts,Three short blasts,Five short blasts,c
